brand,category_code,event_type,count
acer,furniture.kitchen.table,cart,13
acer,furniture.kitchen.table,view,603
acer,furniture.living_room.cabinet,cart,16
acer,furniture.living_room.cabinet,purchase,7
acer,furniture.living_room.cabinet,view,673
acer,sport.bicycle,cart,1
acer,sport.bicycle,view,409
acer,sport.ski,cart,125
acer,sport.ski,purchase,48
acer,sport.ski,view,2771
achilles,computers.desktop,view,2
acm,apparel.costume,cart,1
acm,apparel.costume,view,94
acm,appliances.personal.massager,view,19
acm,construction.tools.pump,cart,8
acm,construction.tools.pump,purchase,1
acm,construction.tools.pump,view,157
acm,construction.tools.saw,cart,10
acm,construction.tools.saw,purchase,4
acm,construction.tools.saw,view,840
acm,furniture.living_room.sofa,cart,9
acm,furniture.living_room.sofa,purchase,5
acm,furniture.living_room.sofa,view,375
acme,apparel.scarf,cart,41
acme,apparel.scarf,purchase,11
acme,apparel.scarf,view,1513
acme,apparel.shoes,cart,106
acme,apparel.shoes,purchase,26
acme,apparel.shoes,view,3733
acme,apparel.shoes.keds,cart,61
acme,apparel.shoes.keds,purchase,16
acme,apparel.shoes.keds,view,3015
acme,apparel.shorts,cart,32
acme,apparel.shorts,purchase,4
acme,apparel.shorts,view,477
acme,appliances.kitchen.kettle,view,10
acme,appliances.kitchen.toster,cart,100
acme,appliances.kitchen.toster,purchase,18
acme,appliances.kitchen.toster,view,3589
acme,computers.components.power_supply,cart,33
acme,computers.components.power_supply,purchase,11
acme,computers.components.power_supply,view,2060
acme,computers.desktop,view,90
acme,country_yard.cultivator,cart,114
acme,country_yard.cultivator,purchase,30
acme,country_yard.cultivator,view,1981
acme,country_yard.furniture.hammok,cart,7
acme,country_yard.furniture.hammok,purchase,2
acme,country_yard.furniture.hammok,view,353
acme,electronics.camera.video,view,1
acme,electronics.clocks,cart,35
acme,electronics.clocks,purchase,9
acme,electronics.clocks,view,1999
acme,furniture.kitchen.chair,cart,9
acme,furniture.kitchen.chair,purchase,1
acme,furniture.kitchen.chair,view,293
acme,furniture.kitchen.table,cart,7
acme,furniture.kitchen.table,purchase,3
acme,furniture.kitchen.table,view,613
acme,furniture.living_room.cabinet,cart,51
acme,furniture.living_room.cabinet,purchase,13
acme,furniture.living_room.cabinet,view,710
acme,kids.swing,cart,132
acme,kids.swing,purchase,43
acme,kids.swing,view,2704
acme,sport.bicycle,cart,91
acme,sport.bicycle,purchase,29
acme,sport.bicycle,view,2640
acoola,accessories.umbrella,view,103
acoola,apparel.shoes,cart,1
acoola,apparel.shoes,purchase,1
acoola,apparel.shoes,view,93
acoola,apparel.shoes.keds,view,25
acoola,apparel.tshirt,cart,2
acoola,apparel.tshirt,purchase,2
acoola,apparel.tshirt,view,51
acorp,furniture.kitchen.table,cart,9
acorp,furniture.kitchen.table,purchase,2
acorp,furniture.kitchen.table,view,146
acorsa,furniture.bathroom.bath,view,1
acqua,sport.bicycle,cart,6
acqua,sport.bicycle,purchase,3
acqua,sport.bicycle,view,153
action,apparel.shirt,view,20
action,appliances.kitchen.kettle,cart,1
action,appliances.kitchen.kettle,view,30
active,furniture.kitchen.table,view,28
activision,apparel.scarf,cart,195
activision,apparel.scarf,purchase,40
activision,apparel.scarf,view,5567
acuvue,apparel.shirt,view,1
acuvue,construction.tools.saw,cart,347
acuvue,construction.tools.saw,purchase,76
acuvue,construction.tools.saw,view,4292
acv,auto.accessories.player,cart,1
acv,auto.accessories.player,purchase,1
acv,auto.accessories.player,view,64
acv,construction.tools.drill,cart,9
acv,construction.tools.drill,purchase,4
acv,construction.tools.drill,view,325
acv,electronics.audio.subwoofer,cart,1
acv,electronics.audio.subwoofer,view,161
acv,electronics.video.tv,cart,17
acv,electronics.video.tv,purchase,5
acv,electronics.video.tv,view,2106
adagio,electronics.audio.acoustic,cart,2019
adagio,electronics.audio.acoustic,purchase,605
adagio,electronics.audio.acoustic,view,36807
adal,sport.tennis,cart,65
adal,sport.tennis,purchase,13
adal,sport.tennis,view,59
adam,appliances.kitchen.toster,view,38
adamas,computers.notebook,view,4
adamex,apparel.shoes.keds,cart,2
adamex,apparel.shoes.keds,view,406
adamex,computers.desktop,view,256
adamex,electronics.telephone,view,19
adamex,kids.carriage,cart,1
adamex,kids.carriage,view,59
adamex,kids.skates,cart,312
adamex,kids.skates,purchase,87
adamex,kids.skates,view,12651
adata,apparel.shoes.slipons,cart,48
adata,apparel.shoes.slipons,purchase,8
adata,apparel.shoes.slipons,view,2096
adata,appliances.environment.fan,view,1
adata,appliances.kitchen.juicer,cart,199
adata,appliances.kitchen.juicer,purchase,55
adata,appliances.kitchen.juicer,view,6027
adata,appliances.personal.massager,cart,213
adata,appliances.personal.massager,purchase,72
adata,appliances.personal.massager,view,6358
adata,auto.accessories.parktronic,view,1
adata,computers.components.hdd,view,7
adata,computers.components.memory,view,19
adata,computers.components.videocards,view,1
adata,furniture.kitchen.chair,cart,1
adata,furniture.kitchen.chair,view,1
addlink,auto.accessories.parktronic,cart,2
addlink,auto.accessories.parktronic,purchase,1
addlink,auto.accessories.parktronic,view,11
adel,appliances.kitchen.juicer,view,1
adel,computers.notebook,view,3
adelline,apparel.shirt,view,2
adidas,accessories.bag,cart,148
adidas,accessories.bag,purchase,42
adidas,accessories.bag,view,8407
adidas,apparel.costume,cart,270
adidas,apparel.costume,purchase,75
adidas,apparel.costume,view,19239
adidas,apparel.glove,cart,1
adidas,apparel.glove,view,153
adidas,apparel.jeans,cart,233
adidas,apparel.jeans,purchase,68
adidas,apparel.jeans,view,8617
adidas,apparel.jumper,cart,133
adidas,apparel.jumper,purchase,32
adidas,apparel.jumper,view,2588
adidas,apparel.shirt,view,4
adidas,apparel.shoes,cart,5
adidas,apparel.shoes,view,624
adidas,apparel.shoes.keds,cart,211
adidas,apparel.shoes.keds,purchase,65
adidas,apparel.shoes.keds,view,11016
adidas,apparel.shoes.moccasins,view,9
adidas,apparel.shoes.sandals,cart,171
adidas,apparel.shoes.sandals,purchase,52
adidas,apparel.shoes.sandals,view,3173
adidas,apparel.shoes.step_ins,cart,103
adidas,apparel.shoes.step_ins,purchase,33
adidas,apparel.shoes.step_ins,view,3363
adidas,apparel.shorts,cart,77
adidas,apparel.shorts,purchase,27
adidas,apparel.shorts,view,4166
adidas,apparel.sock,cart,92
adidas,apparel.sock,purchase,31
adidas,apparel.sock,view,4966
adidas,apparel.trousers,cart,7
adidas,apparel.trousers,purchase,2
adidas,apparel.trousers,view,259
adidas,apparel.tshirt,view,2
adidas,appliances.kitchen.meat_grinder,cart,1
adidas,appliances.kitchen.meat_grinder,purchase,1
adidas,appliances.kitchen.meat_grinder,view,217
adidas,appliances.kitchen.refrigerators,cart,17
adidas,appliances.kitchen.refrigerators,purchase,8
adidas,appliances.kitchen.refrigerators,view,263
adidas,appliances.personal.massager,cart,17
adidas,appliances.personal.massager,purchase,6
adidas,appliances.personal.massager,view,640
adidas,appliances.personal.scales,view,33
adidas,computers.components.motherboard,cart,18
adidas,computers.components.motherboard,purchase,6
adidas,computers.components.motherboard,view,3546
adidas,construction.tools.drill,cart,3734
adidas,construction.tools.drill,purchase,1065
adidas,construction.tools.drill,view,186939
adidas,construction.tools.pump,view,31
adidas,construction.tools.screw,cart,2
adidas,construction.tools.screw,purchase,1
adidas,construction.tools.screw,view,161
adidas,construction.tools.welding,view,8
adidas,country_yard.cultivator,cart,583
adidas,country_yard.cultivator,purchase,159
adidas,country_yard.cultivator,view,27712
adidas,country_yard.furniture.hammok,cart,4
adidas,country_yard.furniture.hammok,purchase,1
adidas,country_yard.furniture.hammok,view,332
adidas,country_yard.lawn_mower,cart,4
adidas,country_yard.lawn_mower,purchase,1
adidas,country_yard.lawn_mower,view,280
adidas,electronics.audio.acoustic,view,12
adidas,electronics.audio.microphone,cart,19
adidas,electronics.audio.microphone,purchase,7
adidas,electronics.audio.microphone,view,2433
adidas,electronics.audio.music_tools.piano,cart,323
adidas,electronics.audio.music_tools.piano,purchase,93
adidas,electronics.audio.music_tools.piano,view,17832
adidas,electronics.telephone,cart,32
adidas,electronics.telephone,purchase,11
adidas,electronics.telephone,view,2427
adidas,furniture.bathroom.bath,cart,283
adidas,furniture.bathroom.bath,purchase,66
adidas,furniture.bathroom.bath,view,24806
adidas,furniture.bedroom.blanket,view,62
adidas,furniture.kitchen.table,cart,3
adidas,furniture.kitchen.table,purchase,1
adidas,furniture.kitchen.table,view,81
adidas,furniture.living_room.shelving,view,23
adidas,kids.toys,cart,1506
adidas,kids.toys,purchase,465
adidas,kids.toys,view,76108
adidas,sport.bicycle,cart,312
adidas,sport.bicycle,purchase,91
adidas,sport.bicycle,view,27958
adidas,sport.ski,cart,201
adidas,sport.ski,purchase,58
adidas,sport.ski,view,23341
adidas,sport.snowboard,cart,187
adidas,sport.snowboard,purchase,47
adidas,sport.snowboard,view,4632
adidas,sport.trainer,view,9
adil,kids.carriage,view,8
adil,kids.skates,view,63
adil,sport.trainer,cart,379
adil,sport.trainer,purchase,116
adil,sport.trainer,view,9697
adil,stationery.cartrige,view,8
adile,sport.trainer,cart,49
adile,sport.trainer,purchase,15
adile,sport.trainer,view,1199
adile,stationery.cartrige,view,7
adili,accessories.bag,view,228
adili,accessories.umbrella,cart,30
adili,accessories.umbrella,purchase,6
adili,accessories.umbrella,view,477
adili,apparel.scarf,cart,21
adili,apparel.scarf,purchase,5
adili,apparel.scarf,view,842
adili,apparel.shirt,view,97
adili,appliances.kitchen.juicer,cart,14
adili,appliances.kitchen.juicer,purchase,4
adili,appliances.kitchen.juicer,view,833
adili,appliances.personal.massager,cart,45
adili,appliances.personal.massager,purchase,11
adili,appliances.personal.massager,view,2855
adili,furniture.bedroom.blanket,cart,10
adili,furniture.bedroom.blanket,purchase,2
adili,furniture.bedroom.blanket,view,279
adking,auto.accessories.videoregister,cart,6
adking,auto.accessories.videoregister,purchase,3
adking,auto.accessories.videoregister,view,428
admira,electronics.audio.acoustic,view,212
adora,appliances.kitchen.grill,view,51
adriatica,electronics.clocks,cart,32
adriatica,electronics.clocks,purchase,9
adriatica,electronics.clocks,view,3064
advan,appliances.ironing_board,view,3
aeg,appliances.kitchen.hob,view,1
aeg,appliances.kitchen.hood,view,1
aeg,appliances.kitchen.oven,view,83
aeg,appliances.kitchen.refrigerators,view,20
aeg,appliances.kitchen.washer,cart,48
aeg,appliances.kitchen.washer,purchase,21
aeg,appliances.kitchen.washer,view,1004
aeg,appliances.personal.massager,view,50
aeg,electronics.audio.acoustic,view,8
aeg,furniture.living_room.cabinet,cart,5
aeg,furniture.living_room.cabinet,purchase,1
aeg,furniture.living_room.cabinet,view,527
aeg,kids.swing,view,19
aenepure,apparel.costume,view,21
aeolus,computers.desktop,view,8
aero,appliances.ironing_board,view,2
aero,appliances.kitchen.refrigerators,cart,21
aero,appliances.kitchen.refrigerators,purchase,3
aero,appliances.kitchen.refrigerators,view,2090
aero,furniture.kitchen.chair,cart,16
aero,furniture.kitchen.chair,purchase,4
aero,furniture.kitchen.chair,view,895
aero,furniture.kitchen.table,view,14
aerocool,computers.components.cooler,view,13
aerocool,computers.components.power_supply,cart,640
aerocool,computers.components.power_supply,purchase,164
aerocool,computers.components.power_supply,view,15888
aerocool,computers.desktop,view,13
aerocool,computers.peripherals.mouse,cart,347
aerocool,computers.peripherals.mouse,purchase,88
aerocool,computers.peripherals.mouse,view,7702
aerocool,electronics.tablet,cart,349
aerocool,electronics.tablet,purchase,123
aerocool,electronics.tablet,view,8732
aerocool,kids.dolls,cart,1
aerocool,kids.dolls,view,32
aerocool,sport.trainer,cart,698
aerocool,sport.trainer,purchase,183
aerocool,sport.trainer,view,29213
aeroforce,apparel.shirt,view,1
aerosystem,computers.components.power_supply,cart,3
aerosystem,computers.components.power_supply,purchase,1
aerosystem,computers.components.power_supply,view,736
afnan,apparel.shoes.sandals,cart,117
afnan,apparel.shoes.sandals,purchase,34
afnan,apparel.shoes.sandals,view,3721
afox,apparel.shoes.slipons,view,9
afox,appliances.environment.air_heater,cart,36
afox,appliances.environment.air_heater,purchase,7
afox,appliances.environment.air_heater,view,1567
afox,computers.components.videocards,view,11
ag,appliances.environment.climate,cart,63
ag,appliances.environment.climate,purchase,22
ag,appliances.environment.climate,view,1713
ag,appliances.kitchen.meat_grinder,cart,7
ag,appliances.kitchen.meat_grinder,purchase,1
ag,appliances.kitchen.meat_grinder,view,276
age,appliances.kitchen.refrigerators,view,15
agent,appliances.kitchen.meat_grinder,cart,1
agent,appliances.kitchen.meat_grinder,view,67
agidel,apparel.shoes,view,1
agness,accessories.bag,cart,86
agness,accessories.bag,purchase,26
agness,accessories.bag,view,4886
agness,accessories.umbrella,view,3
agness,apparel.shoes,cart,146
agness,apparel.shoes,purchase,39
agness,apparel.shoes,view,2991
agness,apparel.shoes.keds,cart,8
agness,apparel.shoes.keds,purchase,3
agness,apparel.shoes.keds,view,399
agness,apparel.tshirt,view,3
agness,appliances.kitchen.kettle,cart,23
agness,appliances.kitchen.kettle,purchase,7
agness,appliances.kitchen.kettle,view,800
agness,computers.peripherals.camera,view,1
agness,construction.tools.generator,cart,65
agness,construction.tools.generator,purchase,21
agness,construction.tools.generator,view,1885
agness,furniture.kitchen.table,cart,9
agness,furniture.kitchen.table,purchase,5
agness,furniture.kitchen.table,view,463
agness,kids.toys,view,1
agness,sport.trainer,view,5
agnetha,electronics.audio.acoustic,cart,230
agnetha,electronics.audio.acoustic,purchase,61
agnetha,electronics.audio.acoustic,view,4744
agrimotor,apparel.shoes.sandals,view,15
agu,appliances.kitchen.toster,cart,6
agu,appliances.kitchen.toster,purchase,3
agu,appliances.kitchen.toster,view,207
agu,electronics.camera.photo,view,16
agu,electronics.clocks,cart,3
agu,electronics.clocks,purchase,1
agu,electronics.clocks,view,318
agu,kids.skates,view,3
agu,kids.swing,cart,15
agu,kids.swing,purchase,3
agu,kids.swing,view,427
agv,apparel.glove,cart,1
agv,apparel.glove,view,132
aidini,apparel.shoes,view,112
aiebao,accessories.bag,view,49
aiformaria,apparel.shoes,cart,2
aiformaria,apparel.shoes,view,64
aiken,accessories.bag,view,1
aiken,construction.tools.welding,view,1
aiko,apparel.shoes.moccasins,cart,141
aiko,apparel.shoes.moccasins,purchase,47
aiko,apparel.shoes.moccasins,view,4059
aiko,apparel.underwear,view,2
aiko,furniture.kitchen.chair,view,1
aileron,computers.ebooks,cart,2
aileron,computers.ebooks,view,788
aimile,kids.skates,cart,128
aimile,kids.skates,purchase,40
aimile,kids.skates,view,6895
aimoto,computers.ebooks,cart,1
aimoto,computers.ebooks,view,17
aimoto,electronics.clocks,cart,409
aimoto,electronics.clocks,purchase,84
aimoto,electronics.clocks,view,12560
ainibabe,apparel.shoes,view,65
air-cool,computers.components.power_supply,cart,1
air-cool,computers.components.power_supply,purchase,1
air-cool,computers.components.power_supply,view,80
air-cool,sport.trainer,cart,11
air-cool,sport.trainer,purchase,1
air-cool,sport.trainer,view,667
aircool,appliances.environment.air_heater,view,1
airelec,appliances.environment.air_heater,cart,1
airelec,appliances.environment.air_heater,view,147
airjordan,apparel.shoes.keds,view,15
airline,apparel.tshirt,cart,18
airline,apparel.tshirt,purchase,5
airline,apparel.tshirt,view,922
airline,auto.accessories.compressor,cart,65
airline,auto.accessories.compressor,purchase,15
airline,auto.accessories.compressor,view,1066
airmax,computers.components.power_supply,cart,3
airmax,computers.components.power_supply,purchase,1
airmax,computers.components.power_supply,view,144
airmax,sport.trainer,view,1
airselfie,construction.tools.drill,view,228
airwheel,appliances.kitchen.mixer,view,3
airwheel,appliances.kitchen.toster,cart,21
airwheel,appliances.kitchen.toster,purchase,6
airwheel,appliances.kitchen.toster,view,1986
aist,appliances.kitchen.toster,cart,422
aist,appliances.kitchen.toster,purchase,125
aist,appliances.kitchen.toster,view,15637
aist,sport.bicycle,view,3
aivengo,apparel.dress,view,4
aivengo,apparel.jacket,view,1
ajmal,apparel.jeans,view,1
ajris-press,apparel.costume,cart,2
ajris-press,apparel.costume,purchase,1
ajris-press,apparel.costume,view,4
akai,apparel.underwear,cart,179
akai,apparel.underwear,purchase,60
akai,apparel.underwear,view,5806
akai,electronics.audio.music_tools.piano,view,2
akebono,stationery.cartrige,view,74
akel,appliances.kitchen.grill,view,1
akel,appliances.kitchen.oven,view,22
akg,auto.accessories.radar,cart,112
akg,auto.accessories.radar,purchase,35
akg,auto.accessories.radar,view,2842
akg,electronics.audio.headphone,view,3
akg,sport.bicycle,cart,24
akg,sport.bicycle,purchase,8
akg,sport.bicycle,view,1172
akkord,furniture.universal.light,view,5
akom,accessories.bag,cart,4
akom,accessories.bag,purchase,1
akom,accessories.bag,view,108
akom,appliances.kitchen.toster,cart,12
akom,appliances.kitchen.toster,purchase,3
akom,appliances.kitchen.toster,view,214
akom,furniture.bedroom.bed,cart,353
akom,furniture.bedroom.bed,purchase,91
akom,furniture.bedroom.bed,view,5458
akpo,appliances.kitchen.hob,view,211
akpo,appliances.kitchen.hood,view,5
akpo,appliances.kitchen.oven,view,113
akpo,appliances.personal.massager,cart,8
akpo,appliances.personal.massager,purchase,3
akpo,appliances.personal.massager,view,2133
aksina,appliances.kitchen.hob,view,3
akvaton,appliances.kitchen.fryer,view,1
akvaton,appliances.personal.massager,view,2
akvaton,furniture.bathroom.toilet,view,1
akvaton,furniture.living_room.cabinet,view,1
akyoto,stationery.cartrige,view,1
al-ko,accessories.bag,view,3
al-ko,apparel.shoes.sandals,cart,8
al-ko,apparel.shoes.sandals,purchase,3
al-ko,apparel.shoes.sandals,view,232
al-ko,appliances.environment.air_conditioner,cart,4
al-ko,appliances.environment.air_conditioner,purchase,1
al-ko,appliances.environment.air_conditioner,view,213
al-ko,computers.ebooks,view,28
al-ko,construction.tools.saw,view,107
alaia,apparel.shoes.sandals,cart,2
alaia,apparel.shoes.sandals,purchase,1
alaia,apparel.shoes.sandals,view,50
alantex,electronics.telephone,cart,1
alantex,electronics.telephone,view,14
alavann,apparel.shoes,view,6
alba,accessories.bag,view,63
alba,apparel.shoes,view,13
albertm,computers.peripherals.printer,view,26
albertm,construction.components.faucet,cart,1
albertm,construction.components.faucet,view,183
albertm,kids.toys,view,11
albertocasiano,apparel.jumper,view,5
albertocasiano,sport.ski,view,3
albino,furniture.kitchen.table,view,289
alborz,appliances.kitchen.hob,view,31
alborz,appliances.kitchen.oven,view,11
alborz,appliances.personal.massager,cart,1
alborz,appliances.personal.massager,purchase,1
alborz,appliances.personal.massager,view,63
alca,apparel.tshirt,view,10
alcasta,appliances.ironing_board,cart,1
alcasta,appliances.ironing_board,view,8
alcon,apparel.shirt,view,29
alcon,construction.tools.saw,cart,96
alcon,construction.tools.saw,purchase,15
alcon,construction.tools.saw,view,1784
alcon,kids.swing,cart,1
alcon,kids.swing,view,208
alctron,auto.accessories.radar,view,139
aldit,furniture.universal.light,view,41
alecord,appliances.environment.air_conditioner,cart,3
alecord,appliances.environment.air_conditioner,view,293
alerana,appliances.personal.massager,cart,17
alerana,appliances.personal.massager,purchase,5
alerana,appliances.personal.massager,view,509
alerana,auto.accessories.winch,cart,6
alerana,auto.accessories.winch,view,119
alerana,construction.tools.painting,cart,17
alerana,construction.tools.painting,purchase,8
alerana,construction.tools.painting,view,377
alerana,construction.tools.saw,view,142
alerana,electronics.audio.music_tools.piano,cart,1
alerana,electronics.audio.music_tools.piano,view,45
alesis,apparel.tshirt,view,27
alesis,apparel.underwear,cart,134
alesis,apparel.underwear,purchase,31
alesis,apparel.underwear,view,3083
alesis,appliances.kitchen.toster,cart,1
alesis,appliances.kitchen.toster,purchase,1
alesis,appliances.kitchen.toster,view,459
alesis,electronics.audio.acoustic,view,2
alesis,kids.swing,view,12
alesis,sport.bicycle,view,21
alesis,sport.snowboard,cart,6
alesis,sport.snowboard,purchase,5
alesis,sport.snowboard,view,506
alessio,furniture.kitchen.table,view,236
alex,auto.accessories.videoregister,view,999
alexandre.j,apparel.shoes.sandals,view,15
alexika,construction.tools.light,view,344
alexika,kids.swing,cart,1
alexika,kids.swing,view,392
alfa,furniture.universal.light,view,529
alfreddunhill,apparel.jeans,view,3
algotherm,accessories.bag,view,56
algotherm,apparel.costume,cart,1
algotherm,apparel.costume,view,57
algotherm,apparel.shirt,cart,1
algotherm,apparel.shirt,view,167
algotherm,construction.tools.pump,view,37
algotherm,furniture.living_room.sofa,cart,39
algotherm,furniture.living_room.sofa,purchase,5
algotherm,furniture.living_room.sofa,view,499
alienware,computers.peripherals.monitor,view,38
alilo,computers.desktop,cart,127
alilo,computers.desktop,purchase,33
alilo,computers.desktop,view,3813
alis,kids.carriage,cart,2
alis,kids.carriage,purchase,1
alis,kids.carriage,view,45
alis,kids.skates,cart,1536
alis,kids.skates,purchase,437
alis,kids.skates,view,47628
alkor,apparel.underwear,view,12
alkor,sport.ski,cart,5
alkor,sport.ski,view,27
alligator,auto.accessories.compressor,view,10
alligator,electronics.audio.subwoofer,view,3
allocacoc,appliances.ironing_board,view,85
allvega,apparel.jeans,cart,1
allvega,apparel.jeans,purchase,1
allvega,apparel.jeans,view,16
allvega,apparel.shoes,cart,8
allvega,apparel.shoes,purchase,5
allvega,apparel.shoes,view,895
almacom,apparel.tshirt,cart,469
almacom,apparel.tshirt,purchase,168
almacom,apparel.tshirt,view,13005
almacom,appliances.environment.air_conditioner,cart,2378
almacom,appliances.environment.air_conditioner,purchase,674
almacom,appliances.environment.air_conditioner,view,69187
almacom,appliances.environment.air_heater,cart,22
almacom,appliances.environment.air_heater,purchase,5
almacom,appliances.environment.air_heater,view,2105
almacom,appliances.kitchen.refrigerators,cart,128
almacom,appliances.kitchen.refrigerators,purchase,35
almacom,appliances.kitchen.refrigerators,view,7230
almacom,computers.components.cpu,view,2
almacom,electronics.clocks,cart,2
almacom,electronics.clocks,purchase,1
almacom,electronics.clocks,view,6
almada,apparel.pajamas,view,17
almada,sport.bicycle,cart,3
almada,sport.bicycle,view,2
alondra,sport.bicycle,view,32
alpenhof,appliances.personal.hair_cutter,cart,1
alpenhof,appliances.personal.hair_cutter,view,132
alphaline,appliances.kitchen.toster,view,2
alphaline,furniture.bedroom.bed,cart,10
alphaline,furniture.bedroom.bed,purchase,3
alphaline,furniture.bedroom.bed,view,282
alphard,apparel.tshirt,view,29
alphard,construction.tools.drill,cart,20
alphard,construction.tools.drill,purchase,6
alphard,construction.tools.drill,view,2221
alphard,electronics.audio.subwoofer,cart,528
alphard,electronics.audio.subwoofer,purchase,143
alphard,electronics.audio.subwoofer,view,25732
alpicool,appliances.kitchen.refrigerators,view,230
alpika,construction.tools.light,cart,10
alpika,construction.tools.light,purchase,1
alpika,construction.tools.light,view,1161
alpina,apparel.shoes,cart,1
alpina,apparel.shoes,view,254
alpina,apparel.underwear,cart,1
alpina,apparel.underwear,view,499
alpina,computers.peripherals.mouse,cart,26
alpina,computers.peripherals.mouse,purchase,5
alpina,computers.peripherals.mouse,view,1807
alpina,electronics.clocks,cart,1
alpina,electronics.clocks,view,814
alpinapabliser,computers.notebook,view,1
alpinapabliser,sport.ski,view,4
alpine,accessories.wallet,view,85
alpine,construction.tools.drill,cart,7
alpine,construction.tools.drill,purchase,3
alpine,construction.tools.drill,view,1236
alpine,electronics.audio.subwoofer,cart,590
alpine,electronics.audio.subwoofer,purchase,174
alpine,electronics.audio.subwoofer,view,24461
alpine,electronics.video.tv,cart,507
alpine,electronics.video.tv,purchase,162
alpine,electronics.video.tv,view,21078
alser,appliances.kitchen.refrigerators,cart,47
alser,appliances.kitchen.refrigerators,purchase,23
alser,appliances.kitchen.refrigerators,view,3200
alser,computers.desktop,cart,1
alser,computers.desktop,view,3
altacto,apparel.scarf,view,15
altacto,computers.desktop,cart,19
altacto,computers.desktop,purchase,4
altacto,computers.desktop,view,365
altacto,kids.toys,cart,7
altacto,kids.toys,purchase,2
altacto,kids.toys,view,240
altair,appliances.kitchen.mixer,view,3
altair,appliances.kitchen.toster,cart,224
altair,appliances.kitchen.toster,purchase,66
altair,appliances.kitchen.toster,view,9116
altair,sport.bicycle,cart,9
altair,sport.bicycle,purchase,4
altair,sport.bicycle,view,156
alteco,accessories.bag,cart,668
alteco,accessories.bag,purchase,160
alteco,accessories.bag,view,13433
alteco,apparel.costume,cart,115
alteco,apparel.costume,purchase,24
alteco,apparel.costume,view,4174
alteco,apparel.jumper,cart,18
alteco,apparel.jumper,purchase,1
